CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
12458,70,2,947.4,3,2,4,9,💼 Loyal Customers
12461,93,2,826.88,2,2,3,7,🌱 Regular Buyers
12462,18,2,1189.59,4,2,4,10,💼 Loyal Customers
12463,52,4,1344.78,3,4,4,11,💼 Loyal Customers
12464,9,8,1212.05,5,5,4,14,💎 Champions
12465,16,2,742.1899999999999,4,2,3,9,💼 Loyal Customers
12468,187,2,729.54,1,2,3,6,🌱 Regular Buyers
12471,1,30,19788.65,5,5,5,15,💎 Champions
12472,31,7,6572.11,4,5,5,14,💎 Champions
12473,28,5,3928.05,4,4,5,13,💎 Champions
12474,16,18,7324.09,4,5,5,14,💎 Champions
12475,53,1,723.38,3,1,3,7,🌱 Regular Buyers
12476,15,11,6816.42,4,5,5,14,💎 Champions
12477,22,6,13219.74,4,4,5,13,💎 Champions
12478,3,1,680.99,5,1,3,9,💼 Loyal Customers
12479,10,1,527.2,5,1,3,9,💼 Loyal Customers
12480,27,4,3281.63,4,4,5,13,💎 Champions
12481,22,10,5579.82,4,5,5,14,💎 Champions
12483,16,8,2484.98,4,5,5,14,💎 Champions
12484,32,6,4527.32,4,4,5,13,💎 Champions
12488,9,3,1298.66,5,3,4,12,💎 Champions
12489,335,1,334.93,1,1,2,4,⚠️ At Risk / Lost
12490,4,10,5417.93,5,5,5,15,💎 Champions
12491,38,1,460.4,3,1,2,6,🌱 Regular Buyers
12492,62,2,263.21,3,2,2,7,🌱 Regular Buyers
12493,165,2,433.74,2,2,2,6,🌱 Regular Buyers
12494,15,7,1246.1,4,5,4,13,💎 Champions
12497,81,1,1043.1,2,1,4,7,🌱 Regular Buyers
12498,20,3,403.7,4,3,2,9,💼 Loyal Customers
12500,22,11,4257.82,4,5,5,14,💎 Champions
12501,336,1,2169.39,1,1,5,7,🌱 Regular Buyers
12502,95,5,3723.87,2,4,5,11,💼 Loyal Customers
12504,17,2,482.05,4,2,2,8,🌱 Regular Buyers
12506,232,1,73.5,1,1,1,3,⚠️ At Risk / Lost
12507,133,3,1304.81,2,3,4,9,💼 Loyal Customers
12508,25,2,397.88,4,2,2,8,🌱 Regular Buyers
12509,283,1,176.5,1,1,1,3,⚠️ At Risk / Lost
12510,142,2,982.5699999999999,2,2,4,8,🌱 Regular Buyers
12512,65,2,132.18,3,2,1,6,🌱 Regular Buyers
12513,112,1,612.29,2,1,3,6,🌱 Regular Buyers
12514,266,1,1017.6800000000001,1,1,4,6,🌱 Regular Buyers
12515,352,1,383.7,1,1,2,4,⚠️ At Risk / Lost
12516,77,2,1312.06,2,2,4,8,🌱 Regular Buyers
12517,27,5,2481.6,4,4,5,13,💎 Champions
12518,0,5,2056.89,5,4,5,14,💎 Champions
12519,63,1,330.84000000000003,3,1,2,6,🌱 Regular Buyers
12520,78,5,2634.2599999999998,2,4,5,11,💼 Loyal Customers
12521,142,1,599.6800000000001,2,1,3,6,🌱 Regular Buyers
12522,38,2,192.72,3,2,1,6,🌱 Regular Buyers
12523,18,11,1789.77,4,5,4,13,💎 Champions
12524,8,8,4485.72,5,5,5,15,💎 Champions
12526,0,3,1316.66,5,3,4,12,💎 Champions
12527,81,3,348.71,2,3,2,7,🌱 Regular Buyers
12528,8,6,1933.48,5,4,4,13,💎 Champions
12530,59,4,1662.28,3,4,4,11,💼 Loyal Customers
12531,14,1,125.22,4,1,1,6,🌱 Regular Buyers
12532,29,1,349.83,4,1,2,7,🌱 Regular Buyers
12534,130,1,1089.18,2,1,4,7,🌱 Regular Buyers
12535,91,2,716.35,2,2,3,7,🌱 Regular Buyers
12536,42,3,12601.830000000002,3,3,5,11,💼 Loyal Customers
12538,28,1,363.95,4,1,2,7,🌱 Regular Buyers
12539,21,4,5568.35,4,4,5,13,💎 Champions
12540,19,17,13400.24,4,5,5,14,💎 Champions
12541,29,3,981.18,4,3,4,11,💼 Loyal Customers
12544,35,1,372.7,3,1,2,6,🌱 Regular Buyers
12545,74,2,1000.39,2,2,4,8,🌱 Regular Buyers
12546,46,2,1161.5,3,2,4,9,💼 Loyal Customers
12547,197,2,207.8,1,2,1,4,⚠️ At Risk / Lost
12548,165,1,95.19999999999999,2,1,1,4,⚠️ At Risk / Lost
12550,78,1,964.8299999999999,2,1,4,7,🌱 Regular Buyers
12551,357,1,168.0,1,1,1,3,⚠️ At Risk / Lost
12552,38,2,437.82,3,2,2,7,🌱 Regular Buyers
12553,7,10,3692.28,5,5,5,15,💎 Champions
12556,49,2,599.56,3,2,3,8,🌱 Regular Buyers
12557,15,5,11990.960000000001,4,4,5,13,💎 Champions
12558,7,1,269.96,5,1,2,8,🌱 Regular Buyers
12559,310,2,561.71,1,2,3,6,🌱 Regular Buyers
12560,4,3,2134.01,5,3,5,13,💎 Champions
12561,302,1,238.85,1,1,1,3,⚠️ At Risk / Lost
12562,7,7,3781.7400000000002,5,5,5,15,💎 Champions
12564,260,1,456.9,1,1,2,4,⚠️ At Risk / Lost
12565,288,1,145.92,1,1,1,3,⚠️ At Risk / Lost
12566,85,1,351.65,2,1,2,5,⚠️ At Risk / Lost
12567,22,10,9401.28,4,5,5,14,💎 Champions
12569,1,32,4124.69,5,5,5,15,💎 Champions
12571,39,2,519.61,3,2,3,8,🌱 Regular Buyers
12572,8,2,1020.42,5,2,4,11,💼 Loyal Customers
12573,226,1,160.54,1,1,1,3,⚠️ At Risk / Lost
12574,315,1,218.45,1,1,1,3,⚠️ At Risk / Lost
12576,35,5,1315.83,3,4,4,11,💼 Loyal Customers
12577,34,3,626.6,3,3,3,9,💼 Loyal Customers
12578,20,2,2794.5099999999998,4,2,5,11,💼 Loyal Customers
12579,77,1,440.42,2,1,2,5,⚠️ At Risk / Lost
12580,246,1,415.7,1,1,2,4,⚠️ At Risk / Lost
12581,39,1,197.71,3,1,1,5,⚠️ At Risk / Lost
12582,238,2,511.36,1,2,3,6,🌱 Regular Buyers
12583,2,15,7281.38,5,5,5,15,💎 Champions
12584,3,9,2338.15,5,5,5,15,💎 Champions
12585,233,2,2040.1,1,2,4,7,🌱 Regular Buyers
12586,16,1,196.94,4,1,1,6,🌱 Regular Buyers
12587,7,1,144.0,5,1,1,7,🌱 Regular Buyers
12588,38,1,214.9,3,1,1,5,⚠️ At Risk / Lost
12589,28,2,646.68,4,2,3,9,💼 Loyal Customers
12590,210,2,9864.26,1,2,5,8,🌱 Regular Buyers
12591,316,1,452.85,1,1,2,4,⚠️ At Risk / Lost
12592,91,2,437.6,2,2,2,6,🌱 Regular Buyers
12593,108,3,418.1,2,3,2,7,🌱 Regular Buyers
12594,37,10,3338.22,3,5,5,13,💎 Champions
12596,50,2,618.27,3,2,3,8,🌱 Regular Buyers
12597,18,4,3811.22,4,4,5,13,💎 Champions
12598,9,8,3023.08,5,5,5,15,💎 Champions
12599,28,7,1032.58,4,5,4,13,💎 Champions
12600,28,10,2599.04,4,5,5,14,💎 Champions
12601,189,5,577.06,1,4,3,8,🌱 Regular Buyers
12602,58,1,153.12,3,1,1,5,⚠️ At Risk / Lost
12603,21,1,739.2,4,1,3,8,🌱 Regular Buyers
12604,78,2,254.17999999999998,2,2,2,6,🌱 Regular Buyers
12607,59,1,1579.51,3,1,4,8,🌱 Regular Buyers
12609,77,3,1126.85,2,3,4,9,💼 Loyal Customers
12610,22,5,2099.54,4,4,5,13,💎 Champions
12611,51,1,1193.32,3,1,4,8,🌱 Regular Buyers
12612,73,1,704.04,2,1,3,6,🌱 Regular Buyers
12613,56,5,3344.38,3,4,5,12,💎 Champions
12614,277,1,315.6,1,1,2,4,⚠️ At Risk / Lost
12615,1,4,2291.19,5,4,5,14,💎 Champions
12616,94,2,713.3,2,2,3,7,🌱 Regular Buyers
12617,28,1,352.98,4,1,2,7,🌱 Regular Buyers
12618,21,1,177.31,4,1,1,6,🌱 Regular Buyers
12619,15,9,3641.24,4,5,5,14,💎 Champions
12620,14,3,1339.41,4,3,4,11,💼 Loyal Customers
12621,1,20,13689.67,5,5,5,15,💎 Champions
12622,231,1,180.1,1,1,1,3,⚠️ At Risk / Lost
12623,275,1,305.1,1,1,2,4,⚠️ At Risk / Lost
12624,105,2,641.13,2,2,3,7,🌱 Regular Buyers
12625,211,2,2683.82,1,2,5,8,🌱 Regular Buyers
12626,22,9,6620.48,4,5,5,14,💎 Champions
12627,10,7,4478.53,5,5,5,15,💎 Champions
12628,3,3,786.46,5,3,3,11,💼 Loyal Customers
12630,9,2,1270.8799999999999,5,2,4,11,💼 Loyal Customers
12631,56,1,640.5,3,1,3,7,🌱 Regular Buyers
12633,58,4,2163.98,3,4,5,12,💎 Champions
12635,89,2,1689.18,2,2,4,8,🌱 Regular Buyers
12637,66,8,6002.9,3,5,5,13,💎 Champions
12638,32,1,671.69,4,1,3,8,🌱 Regular Buyers
12639,238,1,486.1,1,1,2,4,⚠️ At Risk / Lost
12640,23,3,1174.58,4,3,4,11,💼 Loyal Customers
12641,114,1,185.9,2,1,1,4,⚠️ At Risk / Lost
12642,24,3,1013.26,4,3,4,11,💼 Loyal Customers
12643,127,6,3344.64,2,5,5,12,💎 Champions
12644,129,1,477.91,2,1,2,5,⚠️ At Risk / Lost
12645,33,4,1775.18,3,4,4,11,💼 Loyal Customers
12646,4,2,1346.97,5,2,4,11,💼 Loyal Customers
12647,21,12,3722.8199999999997,4,5,5,14,💎 Champions
12648,154,1,318.05,2,1,2,5,⚠️ At Risk / Lost
12649,106,3,623.51,2,3,3,8,🌱 Regular Buyers
12650,2,1,314.44,5,1,2,8,🌱 Regular Buyers
12651,334,1,114.0,1,1,1,3,⚠️ At Risk / Lost
12652,330,1,919.98,1,1,3,5,⚠️ At Risk / Lost
12653,148,2,2209.85,2,2,5,9,💼 Loyal Customers
12654,10,5,601.98,5,4,3,12,💎 Champions
12656,16,5,4051.17,4,4,5,13,💎 Champions
12657,10,4,1643.18,5,4,4,13,💎 Champions
12658,18,1,686.05,4,1,3,8,🌱 Regular Buyers
12659,29,1,91.68,4,1,1,6,🌱 Regular Buyers
12660,10,1,245.1,5,1,1,7,🌱 Regular Buyers
12662,0,11,3849.78,5,5,5,15,💎 Champions
12664,7,9,4881.88,5,5,5,15,💎 Champions
12665,324,1,63.0,1,1,1,3,⚠️ At Risk / Lost
12667,57,1,620.13,3,1,3,7,🌱 Regular Buyers
12668,11,4,3807.15,5,4,5,14,💎 Champions
12669,150,3,2744.0299999999997,2,3,5,10,💼 Loyal Customers
12670,9,5,2996.05,5,4,5,14,💎 Champions
12672,329,1,225.9,1,1,1,3,⚠️ At Risk / Lost
12673,4,2,610.52,5,2,3,10,💼 Loyal Customers
12674,38,4,1970.6,3,4,4,11,💼 Loyal Customers
12676,24,6,1331.3899999999999,4,5,4,13,💎 Champions
12678,41,12,17628.46,3,5,5,13,💎 Champions
12679,58,4,1113.02,3,4,4,11,💼 Loyal Customers
12680,0,4,862.81,5,4,3,12,💎 Champions
12681,14,22,13787.54,4,5,5,14,💎 Champions
12682,3,31,12279.82,5,5,5,15,💎 Champions
12683,3,15,8476.57,5,5,5,15,💎 Champions
12684,7,7,2283.63,5,5,5,15,💎 Champions
12685,27,6,2863.08,4,5,5,14,💎 Champions
12686,371,1,89.14,1,1,1,3,⚠️ At Risk / Lost
12688,113,1,4873.81,2,1,5,8,🌱 Regular Buyers
12689,25,2,1247.6100000000001,4,2,4,10,💼 Loyal Customers
12690,205,1,389.01,1,1,2,4,⚠️ At Risk / Lost
12691,27,6,1035.8,4,5,4,13,💎 Champions
12693,126,4,855.91,2,4,3,9,💼 Loyal Customers
12694,69,2,869.67,3,2,3,8,🌱 Regular Buyers
12695,6,4,582.1,5,4,3,12,💎 Champions
12697,28,3,957.59,4,3,4,11,💼 Loyal Customers
12700,7,4,4939.99,5,4,5,14,💎 Champions
12701,79,2,797.71,2,2,3,7,🌱 Regular Buyers
12702,19,1,219.0,4,1,1,6,🌱 Regular Buyers
12703,70,1,283.55,3,1,2,6,🌱 Regular Buyers
12704,6,8,2340.84,5,5,5,15,💎 Champions
12705,14,9,6868.29,4,5,5,14,💎 Champions
12707,291,1,603.42,1,1,3,5,⚠️ At Risk / Lost
12708,29,10,2712.91,4,5,5,14,💎 Champions
12709,14,15,9706.52,4,5,5,14,💎 Champions
12710,96,3,1149.02,2,3,4,9,💼 Loyal Customers
12712,28,13,4396.13,4,5,5,14,💎 Champions
12713,0,1,848.55,5,1,3,9,💼 Loyal Customers
12714,8,5,4708.86,5,4,5,14,💎 Champions
12715,105,1,343.36,2,1,2,5,⚠️ At Risk / Lost
12716,3,2,1053.49,5,2,4,11,💼 Loyal Customers
12717,150,2,1030.98,2,2,4,8,🌱 Regular Buyers
12718,70,1,238.25,3,1,1,5,⚠️ At Risk / Lost
12719,4,2,644.95,5,2,3,10,💼 Loyal Customers
12720,2,25,5781.73,5,5,5,15,💎 Champions
12721,31,6,2656.13,4,5,5,14,💎 Champions
12722,84,4,997.63,2,4,4,10,💼 Loyal Customers
12723,3,5,725.07,5,4,3,12,💎 Champions
12724,4,4,1031.41,5,4,4,13,💎 Champions
12725,370,1,427.8,1,1,2,4,⚠️ At Risk / Lost
12726,27,7,2609.1,4,5,5,14,💎 Champions
12727,10,7,3980.7,5,5,5,15,💎 Champions
12728,70,4,836.33,3,4,3,10,💼 Loyal Customers
12729,113,1,453.01,2,1,2,5,⚠️ At Risk / Lost
12731,23,12,18895.91,4,5,5,14,💎 Champions
12732,179,1,236.26,1,1,1,3,⚠️ At Risk / Lost
12733,233,1,383.95,1,1,2,4,⚠️ At Risk / Lost
12734,352,1,110.39999999999999,1,1,1,3,⚠️ At Risk / Lost
12735,314,2,779.5699999999999,1,2,3,6,🌱 Regular Buyers
12736,332,1,234.0,1,1,1,3,⚠️ At Risk / Lost
12738,371,1,155.35,1,1,1,3,⚠️ At Risk / Lost
12739,77,2,1013.04,2,2,4,8,🌱 Regular Buyers
12740,63,1,427.6,3,1,2,6,🌱 Regular Buyers
12743,133,2,540.13,2,2,3,7,🌱 Regular Buyers
12744,51,7,21279.29,3,5,5,13,💎 Champions
12747,1,11,4196.01,5,5,5,15,💎 Champions
12748,0,209,33053.19,5,5,5,15,💎 Champions
12749,3,5,4090.88,5,4,5,14,💎 Champions
12750,128,1,275.88,2,1,2,5,⚠️ At Risk / Lost
12752,80,1,4366.78,2,1,5,8,🌱 Regular Buyers
12753,22,6,21429.39,4,5,5,14,💎 Champions
12754,235,3,3010.7400000000002,1,3,5,9,💼 Loyal Customers
12755,280,2,3811.9500000000003,1,2,5,8,🌱 Regular Buyers
12756,86,1,112.08,2,1,1,4,⚠️ At Risk / Lost
12757,15,13,7834.650000000001,4,5,5,14,💎 Champions
12758,116,2,2791.59,2,2,5,9,💼 Loyal Customers
12759,51,3,1531.44,3,3,4,10,💼 Loyal Customers
12762,7,2,1898.52,5,2,4,11,💼 Loyal Customers
12763,137,2,494.08,2,2,3,7,🌱 Regular Buyers
12764,316,1,1693.8799999999999,1,1,4,6,🌱 Regular Buyers
12766,3,7,6989.63,5,5,5,15,💎 Champions
12769,238,1,1143.6,1,1,4,6,🌱 Regular Buyers
12770,210,1,1351.45,1,1,4,6,🌱 Regular Buyers
12772,59,1,892.47,3,1,3,7,🌱 Regular Buyers
12775,16,5,1386.04,4,4,4,12,💎 Champions
12778,19,6,822.23,4,5,3,12,💎 Champions
12779,37,8,3981.36,3,5,5,13,💎 Champions
12781,63,2,826.74,3,2,3,8,🌱 Regular Buyers
12782,4,5,2330.92,5,4,5,14,💎 Champions
12783,1,6,2225.91,5,5,5,15,💎 Champions
12784,8,2,532.8199999999999,5,2,3,10,💼 Loyal Customers
12785,363,1,311.95,1,1,2,4,⚠️ At Risk / Lost
12787,9,3,463.65999999999997,5,3,2,10,💼 Loyal Customers
12789,64,1,91.85000000000001,3,1,1,5,⚠️ At Risk / Lost
12790,191,1,324.91999999999996,1,1,2,4,⚠️ At Risk / Lost
12791,373,1,192.6,1,1,1,3,⚠️ At Risk / Lost
12792,256,1,400.53999999999996,1,1,2,4,⚠️ At Risk / Lost
12793,334,2,545.48,1,2,3,6,🌱 Regular Buyers
12794,52,2,860.41,3,2,3,8,🌱 Regular Buyers
12795,18,1,430.48,4,1,2,7,🌱 Regular Buyers
12797,365,1,254.03,1,1,2,4,⚠️ At Risk / Lost
12798,9,3,6977.04,5,3,5,13,💎 Champions
12802,186,1,427.58,1,1,2,4,⚠️ At Risk / Lost
12808,36,3,483.65000000000003,3,3,2,8,🌱 Regular Buyers
12809,177,1,489.31,2,1,3,6,🌱 Regular Buyers
12811,260,3,514.85,1,3,3,7,🌱 Regular Buyers
12812,44,1,229.64,3,1,1,5,⚠️ At Risk / Lost
12814,101,1,125.92,2,1,1,4,⚠️ At Risk / Lost
12815,147,2,1063.46,2,2,4,8,🌱 Regular Buyers
12816,95,2,572.2,2,2,3,7,🌱 Regular Buyers
12817,280,1,166.04,1,1,1,3,⚠️ At Risk / Lost
12818,261,1,1542.08,1,1,4,6,🌱 Regular Buyers
12820,2,4,942.34,5,4,4,13,💎 Champions
12821,213,1,92.72,1,1,1,3,⚠️ At Risk / Lost
12822,70,2,948.88,3,2,4,9,💼 Loyal Customers
12823,74,5,1759.5,2,4,4,10,💼 Loyal Customers
12824,59,1,397.12,3,1,2,6,🌱 Regular Buyers
12826,2,7,1474.72,5,5,4,14,💎 Champions
12827,5,3,430.15,5,3,2,10,💼 Loyal Customers
12828,2,6,1018.7099999999999,5,5,4,14,💎 Champions
12829,336,2,293.0,1,2,2,5,⚠️ At Risk / Lost
12830,37,6,6814.639999999999,3,5,5,13,💎 Champions
12831,261,1,215.05,1,1,1,3,⚠️ At Risk / Lost
12832,31,2,383.03000000000003,4,2,2,8,🌱 Regular Buyers
12833,144,1,417.38,2,1,2,5,⚠️ At Risk / Lost
12834,282,1,312.38,1,1,2,4,⚠️ At Risk / Lost
12836,58,4,2610.36,3,4,5,12,💎 Champions
12837,172,1,134.1,2,1,1,4,⚠️ At Risk / Lost
12838,33,2,671.95,3,2,3,8,🌱 Regular Buyers
12839,2,14,5591.42,5,5,5,15,💎 Champions
12840,143,4,2726.77,2,4,5,11,💼 Loyal Customers
12841,4,25,3991.58,5,5,5,15,💎 Champions
12842,69,2,1118.99,3,2,4,9,💼 Loyal Customers
12843,65,8,1702.26,3,5,4,12,💎 Champions
12844,28,2,325.96,4,2,2,8,🌱 Regular Buyers
12845,266,4,354.09000000000003,1,4,2,7,🌱 Regular Buyers
12847,21,1,843.64,4,1,3,8,🌱 Regular Buyers
12849,30,2,1010.29,4,2,4,10,💼 Loyal Customers
12851,96,1,131.81,2,1,1,4,⚠️ At Risk / Lost
12852,294,1,311.54999999999995,1,1,2,4,⚠️ At Risk / Lost
12853,134,6,1957.1,2,5,4,11,💼 Loyal Customers
12854,78,3,1316.25,2,3,4,9,💼 Loyal Customers
12855,372,1,38.099999999999994,1,1,1,3,⚠️ At Risk / Lost
12856,7,6,2170.78,5,5,5,15,💎 Champions
12857,210,2,1106.4,1,2,4,7,🌱 Regular Buyers
12863,51,1,521.2,3,1,3,7,🌱 Regular Buyers
12864,137,1,147.12,2,1,1,4,⚠️ At Risk / Lost
12865,25,2,1568.23,4,2,4,10,💼 Loyal Customers
12866,282,1,559.12,1,1,3,5,⚠️ At Risk / Lost
12867,25,7,4009.34,4,5,5,14,💎 Champions
12868,185,6,1607.06,1,5,4,10,💼 Loyal Customers
12871,83,2,380.64,2,2,2,6,🌱 Regular Buyers
12872,326,2,599.97,1,2,3,6,🌱 Regular Buyers
12873,281,1,374.0,1,1,2,4,⚠️ At Risk / Lost
12875,142,2,343.23,2,2,2,6,🌱 Regular Buyers
12876,57,2,2218.02,3,2,5,10,💼 Loyal Customers
12877,3,12,1535.77,5,5,4,14,💎 Champions
12878,235,2,854.99,1,2,3,6,🌱 Regular Buyers
12879,44,3,573.22,3,3,3,9,💼 Loyal Customers
12881,275,1,298.0,1,1,2,4,⚠️ At Risk / Lost
12882,8,2,1463.04,5,2,4,11,💼 Loyal Customers
12883,24,4,703.47,4,4,3,11,💼 Loyal Customers
12884,87,1,309.05,2,1,2,5,⚠️ At Risk / Lost
12885,62,3,1175.22,3,3,4,10,💼 Loyal Customers
12886,67,2,1378.4,3,2,4,9,💼 Loyal Customers
12888,213,2,354.12,1,2,2,5,⚠️ At Risk / Lost
12890,23,1,376.72,4,1,2,7,🌱 Regular Buyers
12891,185,3,331.0,1,3,2,6,🌱 Regular Buyers
12893,30,1,176.55,4,1,1,6,🌱 Regular Buyers
12895,41,2,372.8,3,2,2,7,🌱 Regular Buyers
12897,204,2,216.5,1,2,1,4,⚠️ At Risk / Lost
12901,8,28,17654.54,5,5,5,15,💎 Champions
12902,264,1,138.68,1,1,1,3,⚠️ At Risk / Lost
12904,17,2,496.06,4,2,3,9,💼 Loyal Customers
12906,11,5,2919.81,5,4,5,14,💎 Champions
12908,175,2,750.0,2,2,3,7,🌱 Regular Buyers
12909,39,5,2163.82,3,4,5,12,💎 Champions
12910,22,8,3075.04,4,5,5,14,💎 Champions
12912,2,5,1662.3,5,4,4,13,💎 Champions
12913,4,5,2483.63,5,4,5,14,💎 Champions
12915,148,2,363.65,2,2,2,6,🌱 Regular Buyers
12916,138,4,2944.95,2,4,5,11,💼 Loyal Customers
12917,127,1,594.0,2,1,3,6,🌱 Regular Buyers
12919,7,6,1335.19,5,5,4,14,💎 Champions
12920,16,1,162.78,4,1,1,6,🌱 Regular Buyers
12921,8,37,16587.09,5,5,5,15,💎 Champions
12922,160,1,405.38,2,1,2,5,⚠️ At Risk / Lost
12923,63,1,172.82,3,1,1,5,⚠️ At Risk / Lost
12924,87,4,933.7,2,4,4,10,💼 Loyal Customers
12925,4,2,694.05,5,2,3,10,💼 Loyal Customers
12928,34,5,2062.7,3,4,5,12,💎 Champions
12929,311,1,117.85,1,1,1,3,⚠️ At Risk / Lost
12930,77,2,415.8,2,2,2,6,🌱 Regular Buyers
12931,21,15,41518.96,4,5,5,14,💎 Champions
12933,23,3,607.53,4,3,3,10,💼 Loyal Customers
